the_geom,OBJECTID,CAM_NUM,NOTES,LOCATION,PROJ,XCOORD,YCOORD
"{type=Point, coordinates=List(-76.60947777806021, 39.32478055585468)}",1,535,,Greenmount  - 30th,BPD Cameras,-76.60947777,39.32478055
"{type=Point, coordinates=List(-76.61052500032619, 39.29905277779921)}",2,2508,,JFX North,BPD Cameras,-76.610525,39.29905277
"{type=Point, coordinates=List(-76.61066666649648, 39.30105833258659)}",3,2507,,JFX south,BPD Cameras,-76.61066666,39.30105833
"{type=Point, coordinates=List(-76.61072777792641, 39.301263888792114)}",4,2506,,Fallsway and Eager,BPD Cameras,-76.61072777,39.30126388
"{type=Point, coordinates=List(-76.6098277777206, 39.30217499994844)}",5,2505,,Warden St Lot,BPD Cameras,-76.60982777,39.30217499
"{type=Point, coordinates=List(-76.60820555639778, 39.30102777772807)}",6,2504,,Eager St(widows Peak),BPD Cameras,-76.60820555,39.30102777
"{type=Point, coordinates=List(-76.61058888929246, 39.29773888912454)}",7,2503,,Monument and Fallsway,BPD Cameras,-76.61058888,39.29773888
"{type=Point, coordinates=List(-76.60893611120277, 39.29879999968301)}",8,2502,,Madison and Constitution,BPD Cameras,-76.60893611,39.29879999
"{type=Point, coordinates=List(-76.66911388930494, 39.30514166663565)}",9,930,,Rosedale - Brighton,BPD Cameras,-76.66911388,39.30514166
"{type=Point, coordinates=List(-76.66092499948412, 39.300391667442966)}",10,932,,Riggs - Braddish,BPD Cameras,-76.66092499,39.30039166
"{type=Point, coordinates=List(-76.66348333283798, 39.30029722199193)}",11,931,,Riggs - Dukeland,BPD Cameras,-76.66348333,39.30029722
"{type=Point, coordinates=List(-76.63350148051639, 39.30434818383968)}",12,1113,,Division St - Islamic Way,BPD Cameras,-76.63350148,39.30434818
"{type=Point, coordinates=List(-76.6366138890377, 39.2866250001965)}",13,1029,,Lombard & Carrolton,BPD Cameras,-76.63661388,39.286625
"{type=Point, coordinates=List(-76.63157400340762, 39.302753056343654)}",14,1118,,Division St - Mosher St,BPD Cameras,-76.631574,39.30275305
"{type=Point, coordinates=List(-76.61468888856365, 39.28421111134716)}",15,1920,,Charles and Conway,BPD Cameras,-76.61468888,39.28421111
"{type=Point, coordinates=List(-76.61765555614613, 39.284061110876614)}",16,1931,,Sharp and Conway,BPD Cameras,-76.61765555,39.28406111
"{type=Point, coordinates=List(-76.61844722247379, 39.278305556137035)}",17,1922,,182 Hamburg st,BPD Cameras,-76.61844722,39.27830555
"{type=Point, coordinates=List(-76.6345400981702, 39.300591402663464)}",18,1116,,Mosher St - Argyle St,BPD Cameras,-76.63454009,39.3005914
"{type=Point, coordinates=List(-76.63350148051639, 39.30434818383968)}",19,1113,,Division St - Islamic Way,BPD Cameras,-76.63350148,39.30434818
"{type=Point, coordinates=List(-76.63450850272231, 39.305122040956284)}",20,1111,,Division - Laurens,BPD Cameras,-76.6345085,39.30512204
"{type=Point, coordinates=List(-76.63644287531703, 39.30669205768647)}",21,1107,,Division - Presstman,BPD Cameras,-76.63644287,39.30669205
"{type=Point, coordinates=List(-76.64127059154201, 39.30762937407028)}",22,1102,,Carey St - Baker St,BPD Cameras,-76.64127059,39.30762937
"{type=Point, coordinates=List(-76.5826939997134, 39.30477700029094)}",23,625,,Milton & E Biddle St,BPD Cameras,-76.58269399,39.304777
"{type=Point, coordinates=List(-76.63521220663657, 39.30340229698135)}",24,1966,,Avenue Market Parking Lot,BPD Cameras,-76.6352122,39.30340229
"{type=Point, coordinates=List(-76.62107399948339, 39.290996000066315)}",25,01,,Eutaw-Lexington Market,BPD Cameras,-76.62107399,39.290996
"{type=Point, coordinates=List(-76.62100940923314, 39.29039532375505)}",26,02,,Eutaw-Fayette,BPD Cameras,-76.6210094,39.29039532
"{type=Point, coordinates=List(-76.62098500056481, 39.28932400019009)}",27,03,,Eutaw-Baltimore,BPD Cameras,-76.620985,39.289324
"{type=Point, coordinates=List(-76.62094800018488, 39.28867799982765)}",28,04,,Eutaw-Redwood,BPD Cameras,-76.620948,39.28867799
"{type=Point, coordinates=List(-76.62085399988749, 39.28752800027905)}",29,05,,Eutaw-Lombard,BPD Cameras,-76.62085399,39.287528
"{type=Point, coordinates=List(-76.62067500015677, 39.285245000051546)}",30,06,,Eutaw-Camden,BPD Cameras,-76.620675,39.285245
"{type=Point, coordinates=List(-76.62212900041128, 39.28625699993212)}",31,07,,Paca-Pratt,BPD Cameras,-76.622129,39.28625699
"{type=Point, coordinates=List(-76.62361600019788, 39.287415000387284)}",32,08,,Greene-Lombard,BPD Cameras,-76.623616,39.287415
"{type=Point, coordinates=List(-76.6236949998364, 39.28922199991483)}",33,09,,Greene-Baltimore,BPD Cameras,-76.62369499,39.28922199
"{type=Point, coordinates=List(-76.62377700048175, 39.29033300017469)}",34,10,,Greene-Fayette,BPD Cameras,-76.623777,39.290333
"{type=Point, coordinates=List(-76.62383700052072, 39.29137700044108)}",35,11,,Greene-Lexington,BPD Cameras,-76.623837,39.291377
"{type=Point, coordinates=List(-76.62241099961119, 39.290370000277846)}",36,12,,Paca-Fayette,BPD Cameras,-76.62241099,39.29037
"{type=Point, coordinates=List(-76.61934497665766, 39.28756912739982)}",37,13,,Howard-Lombard,BPD Cameras,-76.61934497,39.28756912
"{type=Point, coordinates=List(-76.61936899989124, 39.2863149996113)}",38,14,,Howard-Pratt,BPD Cameras,-76.61936899,39.28631499
"{type=Point, coordinates=List(-76.61928300016163, 39.28530199986979)}",39,15,,Howard-Camden,BPD Cameras,-76.619283,39.28530199
"{type=Point, coordinates=List(-76.61619099965162, 39.286452000221)}",40,16,,S Hanover- W Pratt,BPD Cameras,-76.61619099,39.286452
"{type=Point, coordinates=List(-76.61769200007332, 39.2876680000085)}",41,17,,Hopkins Pl - W Lombard St,BPD Cameras,-76.617692,39.287668
"{type=Point, coordinates=List(-76.61778999954743, 39.28938399974704)}",42,18,,Park Ave-W Baltimore St,BPD Cameras,-76.61778999,39.28938399
"{type=Point, coordinates=List(-76.61948000021472, 39.289386000124296)}",43,19,,S Howard St - W Baltimore St,BPD Cameras,-76.61948,39.289386
"{type=Point, coordinates=List(-76.61949000056008, 39.29044699971935)}",44,20,,N Howard St-W Fayette St,BPD Cameras,-76.61949,39.29044699
"{type=Point, coordinates=List(-76.61966400039873, 39.291602000038985)}",45,21,,N Howard St - W Lexington St,BPD Cameras,-76.619664,39.291602
"{type=Point, coordinates=List(-76.61801999967356, 39.29158100011018)}",46,22,,Park Ave-W Lexington St,BPD Cameras,-76.61801999,39.291581
"{type=Point, coordinates=List(-76.61708399958074, 39.291669999813294)}",47,23,,N Liberty St - W Lexington St,BPD Cameras,-76.61708399,39.29166999
"{type=Point, coordinates=List(-76.61767400030202, 39.29045100028151)}",48,24,,N Liberty St-W Fayette St,BPD Cameras,-76.617674,39.290451
"{type=Point, coordinates=List(-76.61798499950945, 39.29050099982795)}",49,25,,Park Ave - W Fayette St,BPD Cameras,-76.61798499,39.29050099
"{type=Point, coordinates=List(-76.61684319031997, 39.292344397790686)}",50,26,,N Liberty St-Clay St,BPD Cameras,-76.61684319,39.29234439
"{type=Point, coordinates=List(-76.61677699973664, 39.29301900007957)}",51,27,,Cathedral St - W Saratoga St,BPD Cameras,-76.61677699,39.293019
"{type=Point, coordinates=List(-76.61679299956396, 39.29405300019025)}",52,28,,Cathedral St-W Mulberry St,BPD Cameras,-76.61679299,39.294053
"{type=Point, coordinates=List(-76.61548899967683, 39.29415100001895)}",53,29,,N Charles St - E Mulberry St,BPD Cameras,-76.61548899,39.294151
"{type=Point, coordinates=List(-76.6168720001383, 39.295047999927284)}",54,30,,Cathedral St-W Franklin St,BPD Cameras,-76.616872,39.29504799
